variavel;site_id;estrato;no_treino;rotulo;n_sinalizadas;n_segmentos;estado_arcabouco;extrapolacao;incerto
direitos_titular_explicados;bimper.com.br;corp;0;0;0;71;false;False;nao
direitos_titular_explicados;blips.com.br;corp;0;1;10;165;true;False;nao
direitos_titular_explicados;bradesco.com.br;corp;0;1;0;73;false;False;nao
direitos_titular_explicados;celos.com.br;corp;0;1;16;140;true;False;nao
direitos_titular_explicados;cenprotnacional.org.br;corp;1;1;16;111;true;False;nao
direitos_titular_explicados;cgdw.com.br;corp;0;1;1;83;true;False;nao
direitos_titular_explicados;coelhinhadobrasil.com.br;corp;0;0;1;24;true;False;nao
direitos_titular_explicados;comper.com.br;corp;0;1;14;250;true;False;nao
direitos_titular_explicados;condominiodedicado.com.br;corp;0;1;8;78;true;False;nao
direitos_titular_explicados;confiance.com.br;corp;0;1;5;88;true;False;nao
direitos_titular_explicados;correspondentedinamico.com.br;corp;0;1;2;78;true;False;nao
direitos_titular_explicados;costaricacolchoes.com.br;corp;0;0;3;361;true;False;nao
direitos_titular_explicados;cplug.com.br;corp;1;1;15;440;true;False;nao
direitos_titular_explicados;cupomverde.com.br;corp;0;1;13;236;true;False;nao
direitos_titular_explicados;curriculointerativo.com.br;corp;0;1;16;302;true;False;nao
direitos_titular_explicados;cursosheliocouto.com.br;corp;0;1;9;188;true;False;nao
direitos_titular_explicados;datacaixa.com.br;corp;0;1;9;126;true;False;nao
direitos_titular_explicados;delupo.com.br;corp;0;1;0;146;false;False;nao
direitos_titular_explicados;desenhosecolorir.com.br;corp;0;0;0;87;false;False;nao
direitos_titular_explicados;diplan.com.br;corp;0;1;6;128;true;False;nao
direitos_titular_explicados;divinosilva.com.br;corp;0;0;0;137;false;False;nao
direitos_titular_explicados;dreamcasa.com.br;corp;0;1;8;105;true;False;nao
direitos_titular_explicados;econodata.com.br;corp;0;1;10;125;true;False;nao
direitos_titular_explicados;encurtador.com.br;corp;0;0;1;94;true;False;nao
direitos_titular_explicados;evas.com.br;corp;0;0;0;18;false;False;nao
direitos_titular_explicados;faap.br;corp;0;1;9;161;true;False;nao
direitos_titular_explicados;feltrimcorrea.com.br;corp;0;1;7;130;true;False;nao
direitos_titular_explicados;fieltorcedor.com.br;corp;0;1;10;594;true;False;nao
direitos_titular_explicados;flashapp.com.br;corp;0;1;0;198;false;False;nao
direitos_titular_explicados;flashnetbrasil.com.br;corp;0;1;11;136;true;False;nao
direitos_titular_explicados;futebolpaulista.com.br;corp;0;1;11;107;true;False;nao
direitos_titular_explicados;glam.com.br;corp;0;1;11;1004;true;False;nao
direitos_titular_explicados;gobrax.com.br;corp;0;1;1;89;true;False;nao
direitos_titular_explicados;gocache.com.br;corp;0;0;0;231;false;False;nao
direitos_titular_explicados;goodyear.com.br;corp;0;1;6;503;true;False;nao
direitos_titular_explicados;goomer.com.br;corp;0;1;1;231;true;False;nao
direitos_titular_explicados;hachi8.com.br;corp;0;1;0;116;false;False;nao
direitos_titular_explicados;hcpneus.com.br;corp;0;1;0;60;false;False;nao
direitos_titular_explicados;iclin.med.br;corp;1;0;0;42;false;False;nao
direitos_titular_explicados;ideau.com.br;corp;0;0;0;58;false;False;nao
direitos_titular_explicados;info-bras.net.br;corp;0;1;0;60;false;False;nao
direitos_titular_explicados;iob.com.br;corp;0;1;10;179;true;False;nao
direitos_titular_explicados;irmaosdotados.com.br;corp;0;1;1;52;true;False;sim
direitos_titular_explicados;jornaldacidadeonline.com.br;corp;0;0;0;38;false;False;nao
direitos_titular_explicados;kiaga.com.br;corp;0;0;0;268;false;False;nao
direitos_titular_explicados;labmm.com.br;corp;0;1;4;70;true;False;nao
direitos_titular_explicados;legisweb.com.br;corp;0;1;6;118;true;False;nao
direitos_titular_explicados;losango.com.br;corp;1;0;0;114;false;False;sim
direitos_titular_explicados;mailinbox.com.br;corp;0;1;0;41;false;False;sim
direitos_titular_explicados;maisvagases.com.br;corp;0;0;0;112;false;False;nao
direitos_titular_explicados;mapeia.com.br;corp;0;1;4;59;true;False;nao
direitos_titular_explicados;mestresmisticos.com.br;corp;0;1;4;157;true;False;nao
direitos_titular_explicados;meumoveldemadeira.com.br;corp;0;1;8;284;true;False;nao
direitos_titular_explicados;moto.com.br;corp;0;1;7;218;true;False;nao
direitos_titular_explicados;mppr.mp.br;corp;0;0;2;209;true;False;nao
direitos_titular_explicados;neggos.com.br;corp;0;0;0;21;false;False;nao
direitos_titular_explicados;newgrouptelecom.com.br;corp;0;1;0;54;false;False;nao
direitos_titular_explicados;nuvemshop.com.br;corp;0;1;14;423;true;False;nao
direitos_titular_explicados;odontoexcellence.com.br;corp;0;1;1;35;true;False;nao
direitos_titular_explicados;ofertasmaiscupons.com.br;corp;0;1;3;117;true;False;nao
direitos_titular_explicados;ohanakameala.com.br;corp;0;1;14;161;true;False;nao
direitos_titular_explicados;ole.net.br;corp;0;0;0;28;false;False;sim
direitos_titular_explicados;opovo.com.br;corp;0;0;0;76;false;False;nao
direitos_titular_explicados;oresultado.com.br;corp;0;0;0;58;false;False;nao
direitos_titular_explicados;parisfilmes.com.br;corp;0;0;0;47;false;False;sim
direitos_titular_explicados;pcd.com.br;corp;1;1;31;837;true;False;nao
direitos_titular_explicados;pedidook.com.br;corp;1;1;4;182;true;False;nao
direitos_titular_explicados;pedoimoveis.com.br;corp;0;1;7;67;true;False;nao
direitos_titular_explicados;plural.jor.br;corp;0;0;0;74;false;False;nao
direitos_titular_explicados;pravaler.com.br;corp;0;1;14;145;true;False;nao
direitos_titular_explicados;primeirainfanciaemdados.org.br;corp;1;1;10;83;true;False;nao
direitos_titular_explicados;realoficial.com.br;corp;0;1;14;289;true;False;nao
direitos_titular_explicados;redesurftank.com.br;corp;1;1;9;309;true;False;nao
direitos_titular_explicados;rifapersonalizada.com.br;corp;1;0;2;152;true;False;nao
direitos_titular_explicados;riomarrecife.com.br;corp;0;1;3;411;true;False;nao
