site_id;estrato;y;F1_email_lgpd_proprio;F2_email_lgpd_externo;F3_email_generico_ancorado;F4_subpagina_titular;F5_contato_ancorado;F6_telefone_ancorado;F7_ancora_encarregado;F8_ancora_direitos
mapacultural.pe.gov.br;gov;0;0;0;0;0;0;0;1;1
mapeia.com.br;corp;1;1;0;0;0;0;0;1;0
maracanau.ce.gov.br;gov;1;1;0;0;0;0;0;1;1
meioambiente.mg.gov.br;gov;0;0;0;0;0;0;0;0;1
mestresmisticos.com.br;corp;0;0;0;0;0;0;0;0;0
meumoveldemadeira.com.br;corp;1;0;0;0;0;0;0;0;1
mg.gov.br;gov;1;0;0;0;0;0;0;0;0
moto.com.br;corp;1;0;0;0;0;0;0;1;1
mppr.mp.br;corp;0;0;0;0;0;0;0;0;1
mundorh.com.br;corp;0;0;0;0;0;0;0;0;0
neggos.com.br;corp;0;0;0;0;0;0;0;0;0
newgrouptelecom.com.br;corp;0;0;0;0;0;0;0;0;1
nipotech.com.br;corp;0;0;0;0;0;0;0;0;0
nuvemshop.com.br;corp;1;1;0;0;0;0;0;1;1
odontoexcellence.com.br;corp;0;0;0;0;0;0;0;0;1
ofertasmaiscupons.com.br;corp;0;0;0;0;0;0;0;0;1
ohanakameala.com.br;corp;1;0;0;1;0;0;0;1;1
ole.net.br;corp;1;0;0;1;0;0;0;1;0
opovo.com.br;corp;0;0;0;0;0;0;0;0;0
oprimorico.com.br;corp;1;0;0;0;0;0;0;0;0
oresultado.com.br;corp;0;0;0;0;0;0;0;0;0
palmas.to.gov.br;gov;1;1;0;0;1;0;1;1;0
paraiba.pb.gov.br;gov;0;0;0;0;0;0;0;0;0
parana.pr.gov.br;gov;0;0;0;0;1;1;0;1;1
parisfilmes.com.br;corp;1;1;0;0;0;0;1;0;1
pcd.com.br;corp;1;1;1;0;0;0;0;1;1
pedb.com.br;corp;0;0;0;0;0;0;0;0;0
pedidook.com.br;corp;1;1;0;1;0;1;0;1;1
pedoimoveis.com.br;corp;1;1;0;0;0;0;0;0;1
planalto.gov.br;gov;1;0;1;0;0;0;0;1;1
plural.jor.br;corp;0;0;0;0;0;0;0;0;0
pma.es.gov.br;gov;0;0;0;0;0;0;0;0;0
pmpr.pr.gov.br;gov;1;0;0;0;1;0;0;1;0
pncq.org.br;corp;0;0;0;0;0;0;0;0;0
portaldoservidor.ma.gov.br;gov;0;0;0;0;0;0;0;0;0
portaldoservidor.mg.gov.br;gov;1;0;1;0;0;0;0;1;1
