host,estrato,origem,ordem_frozen,banner,banner_conf,politica,politica_conf,canal,canal_conf
topview.com.br,corp,b7,193,False,0.95,True,0.95,False,0.95
jbcred.com.br,corp,recollect,194,False,0.95,False,0.95,False,0.95
datastone.com.br,corp,b7,195,True,0.95,True,0.95,True,0.95
mc1.com.br,corp,recollect,196,False,0.95,False,0.95,True,0.95
unimedmaceio.com.br,corp,b7,197,True,0.95,True,0.95,True,0.95
rollingstone.com.br,corp,b7,199,True,0.65,True,0.95,False,0.95
fabrispuma.com.br,corp,b7,200,True,0.95,False,0.95,False,0.95
domhelder.edu.br,corp,b7,201,False,0.95,True,0.65,False,0.95
icbsena.com.br,corp,b7,203,False,0.95,False,0.95,False,0.95
farmabase.com.br,corp,b7,204,True,0.65,True,0.95,False,0.95
yelumseguros.com.br,corp,b7,205,True,0.95,True,0.95,True,0.95
mailworld.com.br,corp,b7,206,False,0.95,True,0.65,False,0.95
gruppy.com.br,corp,b7,207,False,0.95,True,0.95,False,0.95
tumelero.com.br,corp,b7,208,True,0.65,True,0.95,False,0.95
broto.com.br,corp,b7,209,True,0.95,True,0.95,True,0.95
asvezestem.com.br,corp,b7,210,True,0.65,False,0.95,False,0.95
ifsp.edu.br,corp,b7,212,False,0.95,True,0.95,True,0.95
sistemapoliedro.com.br,corp,b7,213,True,0.95,True,0.65,False,0.95
elojob.com.br,corp,b7,214,False,0.95,True,0.65,False,0.95
danielgarcialeiloes.com.br,corp,b7,215,True,0.65,False,0.95,False,0.95
uninorte.com.br,corp,b7,216,False,0.95,False,0.95,False,0.95
temconsignado.com.br,corp,b7,218,False,0.95,True,0.95,True,0.95
netbiostele.com.br,corp,b7,220,False,0.95,False,0.95,False,0.95
bnews.com.br,corp,b7,221,True,0.65,True,0.65,False,0.95
hondaposvenda.com.br,corp,b7,222,False,0.95,False,0.95,False,0.95
dcmais.com.br,corp,b7,224,True,0.95,True,0.95,False,0.95
masternetrs.com.br,corp,b7,225,False,0.95,True,0.95,True,0.95
esportelandia.com.br,corp,b7,226,False,0.95,True,0.95,False,0.95
kickante.com.br,corp,b7,227,True,0.95,True,0.95,False,0.95
farmagerty.com.br,corp,b7,228,True,0.65,True,0.95,False,0.95
zuq.com.br,corp,b7,229,False,0.95,False,0.95,False,0.95
hdmix.com.br,corp,b7,230,False,0.95,False,0.95,False,0.95
t4stecnologia.com.br,corp,b7,231,True,0.95,True,0.95,True,0.95
phbsolar.com.br,corp,b7,232,True,0.65,False,0.95,False,0.95
seiziguitars.com.br,corp,b7,234,True,0.65,False,0.95,False,0.95
safeweb.com.br,corp,b7,235,True,0.95,True,0.95,True,0.95
inss.gov.br,gov,recollect,1,True,0.95,True,0.95,True,0.95
tce.sp.gov.br,gov,b7,3,True,0.65,True,0.95,True,0.95
gdfnet.df.gov.br,gov,b7,4,False,0.95,False,0.95,False,0.95
dourados.ms.gov.br,gov,b7,5,True,0.65,False,0.95,False,0.95
marica.rj.gov.br,gov,b7,6,True,0.65,True,0.95,True,0.95
cbtu.gov.br,gov,recollect,7,True,0.95,True,0.95,True,0.95
bertioga.sp.gov.br,gov,b7,8,True,0.95,False,0.95,False,0.95
artesp.sp.gov.br,gov,b7,9,True,0.95,True,0.95,True,0.95
trilhasdefuturo.mg.gov.br,gov,recollect,13,False,0.95,False,0.95,False,0.95
pge.rn.gov.br,gov,recollect,15,False,0.95,True,0.95,True,0.95
assistenciasocial.se.gov.br,gov,b7,16,True,0.65,True,0.65,False,0.95
riobonito.rj.gov.br,gov,b7,18,False,0.95,False,0.95,False,0.95
pousoalegre.mg.gov.br,gov,b7,22,True,0.95,True,0.95,False,0.95
itaborai.rj.gov.br,gov,b7,23,False,0.95,False,0.95,False,0.95
bombeiros.to.gov.br,gov,b7,25,False,0.95,False,0.95,False,0.95
