ordem,estrato,rank_tranco,dominio,url,aprovado
131,empresarial,966805,legrand-ddns.com.br,https://legrand-ddns.com.br,true
132,empresarial,331776,mediservice.com.br,https://mediservice.com.br,true
133,empresarial,544637,paymee.com.br,https://paymee.com.br,true
134,empresarial,479809,predize.com.br,https://predize.com.br,true
135,empresarial,756041,appunimedvsf.com.br,https://appunimedvsf.com.br,true
136,empresarial,633981,redacaonline.com.br,https://redacaonline.com.br,true
137,empresarial,509137,ibpt.org.br,https://ibpt.org.br,true
138,empresarial,478672,communicare.com.br,https://communicare.com.br,true
139,empresarial,825658,sisdanca.com.br,https://sisdanca.com.br,true
140,empresarial,778797,flertemaduro.com.br,https://flertemaduro.com.br,true
141,empresarial,837353,vagasaracatuba.com.br,https://vagasaracatuba.com.br,true
142,empresarial,671736,viajarbarato.com.br,https://viajarbarato.com.br,true
143,empresarial,557921,kouda.com.br,https://kouda.com.br,true
144,empresarial,268202,getdemo.com.br,https://getdemo.com.br,true
145,empresarial,5168,americanas.com.br,https://americanas.com.br,true
146,empresarial,497873,fmcsv.org.br,https://fmcsv.org.br,true
147,empresarial,580614,brde.com.br,https://brde.com.br,true
148,empresarial,767919,consorciokawasakibrasil.com.br,https://consorciokawasakibrasil.com.br,true
149,empresarial,374825,qualidoc.com.br,https://qualidoc.com.br,true
150,empresarial,781641,gestaoiss.com.br,https://gestaoiss.com.br,true
151,empresarial,35848,fipe.org.br,https://fipe.org.br,true
152,empresarial,834077,trackjob.com.br,https://trackjob.com.br,true
153,empresarial,844003,zeroduvidas.com.br,https://zeroduvidas.com.br,true
154,empresarial,198951,alfaunipac.com.br,https://alfaunipac.com.br,true
155,empresarial,36557,vakinha.com.br,https://vakinha.com.br,true
156,empresarial,851540,quadritelecom.net.br,https://quadritelecom.net.br,true
157,empresarial,940990,brasscom.org.br,https://brasscom.org.br,true
158,empresarial,458284,futsalrj.com.br,https://futsalrj.com.br,true
159,empresarial,126432,itdg.com.br,https://itdg.com.br,true
160,empresarial,828448,stella.com.br,https://stella.com.br,true
161,empresarial,784710,harem69.com.br,https://harem69.com.br,true
162,empresarial,589282,aprendebrasil.com.br,https://aprendebrasil.com.br,true
163,empresarial,278831,restaurantevinarium.com.br,https://restaurantevinarium.com.br,true
164,empresarial,287301,favaretoleiloes.com.br,https://favaretoleiloes.com.br,true
165,empresarial,851590,cinbesa.com.br,https://cinbesa.com.br,true
166,empresarial,935003,lingovideo.com.br,https://lingovideo.com.br,true
167,empresarial,797643,liquidostore.com.br,https://liquidostore.com.br,true
168,empresarial,86666,sdparking.com.br,https://sdparking.com.br,true
169,empresarial,647735,smartlayer.net.br,https://smartlayer.net.br,true
170,empresarial,812701,pauapique.com.br,https://pauapique.com.br,true
