ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;motivo_nao_coleta;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
11;moviecom.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://moviecom.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
12;netdeal.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://netdeal.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
13;peer-1.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://peer-1.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
14;prospin.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://prospin.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
15;redacao.pr.gov.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://redacao.pr.gov.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
16;simepar.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://simepar.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
17;singulare.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://singulare.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
18;skypecas.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://skypecas.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
19;uespi.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://uespi.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
20;utmify.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://utmify.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
21;valueserver.net.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://valueserver.net.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
22;yamaha-motor.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://yamaha-motor.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
23;lomadee.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://lomadee.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
24;me.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;false;true;false;nao_aplicavel;0.0;0.0;0.95;0.7897;0.95;0.0;;;;;;;;;;false;https://me.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
25;nipotech.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.65;0.0822;0.95;0.0;;;;;;;;;;false;https://nipotech.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
26;ufersa.edu.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ufersa.edu.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
27;hospedameusite.com.br;1;3;3;0;;nao_aplicavel;nao_aplicavel;true;true;false;nao_aplicavel;0.0;0.0;0.95;0.8685;0.95;0.0;;;;;;;;;;false;https://hospedameusite.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
28;cebraspe.org.br;2;6;0;0;;true;true;false;false;true;true;0.8766;0.5008;0.95;0.3635;0.95;0.207;3;262;0.01145;59;262;0.225191;2;262;0.007634;false;https://cebraspe.org.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
29;eneldistribuicao.com.br;0;6;0;0;;true;true;true;true;true;true;0.9342;0.3475;0.95;0.9851;0.95;0.1631;6;50;0.12;8;50;0.16;4;50;0.08;false;https://eneldistribuicao.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
30;noataque.com.br;2;2;0;4;desafio_anti_bot;nao_coletado;nao_coletado;false;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.0822;0.0;0.0;;;;;;;;;;false;https://noataque.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
31;radios.com.br;2;2;0;4;desafio_anti_bot;nao_coletado;nao_coletado;false;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.0822;0.0;0.0;;;;;;;;;;false;https://radios.com.br;c185d735-1ac3-4cbb-a7e2-bb7779c9bca6;reexame-sem-politica-v1.0.0
